Site,BL,low,high
2275.0,3.694016,2.51274,3.0829470000000003
2325.0,3.687795,2.506519,3.0773421599999993
2375.0,3.680432,2.499156,3.0874866399999985
2425.0,3.679619,2.498343,3.0883385199999993
2475.0,3.671911,2.490635,3.0724751999999973
2525.0,3.665745,2.484469,3.053889079999999
2575.0,3.659431,2.0754580000000002,3.040863039999999
2625.0,3.656361,2.072388,3.0408500399999974
2675.0,3.653083,2.0691100000000002,3.0436547199999997
2725.0,3.6515400000000007,2.067567000000001,3.0398813999999987
2775.0,3.6487770000000004,2.0648040000000005,3.0222116800000003
2825.0,3.6487770000000004,2.0648040000000005,3.029245999999999
2875.0,3.647931,2.063958,3.0472686000000007
2925.0,3.6444240000000003,2.0604510000000005,3.053239479999999
2975.0,3.641779,2.0578060000000002,3.0429550399999994
3025.0,3.640911,2.056938,3.0214831999999996
3075.0,3.6415140000000004,2.0575410000000005,3.0236283999999976
3125.0,3.646212,2.062239,3.0228963199999996
3175.0,3.648489,2.0645160000000002,3.0398604200000015
3225.0,3.649093,2.0651200000000003,3.0350434000000006
3275.0,3.6514780000000004,2.0675050000000006,3.0485192799999976
3325.0,3.653713,2.0697400000000004,3.0627014800000008
3375.0,3.6558770000000003,2.0651240000000004,3.077058440000001
3425.0,3.6595680000000006,2.0688150000000007,3.0761338399999976
3475.0,3.656012,2.065259,3.0570772799999983
3525.0,3.653757,2.0630040000000003,3.0601171599999977
3575.0,3.649751,2.0589980000000003,3.042765799999998
3625.0,3.6451480000000003,2.0543950000000004,3.0337094400000004
3675.0,3.635106,2.254676,3.0203507999999997
3725.0,3.6224970000000005,2.2420670000000005,3.011397479999997
3775.0,3.6143479999999997,2.233918,2.99970932
3825.0,3.61014,2.22971,2.993414719999999
3875.0,3.605422,2.23115,2.9807344000000002
3925.0,3.601852,2.22758,2.9628922799999993
3975.0,3.596439,2.2221670000000002,2.940437079999999
4025.0,3.591015,2.216743,2.9476998400000016
4075.0,3.5929970000000004,2.2187250000000005,2.930741600000001
4125.0,3.591286,2.2170140000000003,2.9107273599999983
4175.0,3.589328,2.215056,2.8961245599999987
4225.0,3.585146,2.210874,2.89542652
4275.0,3.5838400000000004,2.2095680000000004,2.8900386399999967
4325.0,3.583333,2.209061,2.8814941599999986
4375.0,3.5784359999999995,2.2041639999999996,2.8789740000000017
4425.0,3.575758,2.201486,2.88363304
4475.0,3.574891,2.200619,2.8688500799999996
4525.0,3.5742010000000004,2.1999290000000005,2.853273399999998
4575.0,3.5698519999999996,2.1955799999999996,2.8479581600000006
4625.0,3.5654960000000004,2.1912240000000005,2.84066888
4675.0,3.5614859999999995,2.1872139999999995,2.8364524000000007
4725.0,3.5624140000000004,2.1881420000000005,2.8365675600000007
4775.0,3.559944,2.1856720000000003,2.826624039999999
4825.0,3.558778,2.1845060000000003,2.8363885599999996
4875.0,3.558094,2.183822,2.8528554399999986
4925.0,3.558325,2.184053,2.858760519999999
4975.0,3.558484,2.184212,2.8589366800000002
5025.0,3.557424,2.183152,2.8565186799999998
5075.0,3.5568100000000005,2.1825380000000005,2.871361920000001
5125.0,3.558325,2.184053,2.88191974
5175.0,3.560887,2.048063,2.8686257599999996
5225.0,3.560923,2.0480989999999997,2.8617574800000005
