Site,BL,low,high
2675.0,4.073848147506995,2.5936504877695334,2.9647840462447235
2725.0,4.0695676241212535,2.589369964383792,2.9617077832865935
2775.0,4.06899770095984,2.5888000412223784,2.959012882993787
2825.0,4.066265793390356,2.586068133652894,2.960860083295616
2875.0,4.063939162270707,2.583741502533245,2.9571579812052597
2925.0,4.063249773945072,2.583052114207611,2.9466420975816936
2975.0,4.061918576149163,2.581720916411702,2.9468984467696266
3025.0,4.057801353100098,2.5776036933626365,2.9526473043767067
3075.0,4.053907782038921,2.57371012230146,2.960288420750266
3125.0,4.051136515913981,2.57093885617652,2.9629916167996946
3175.0,4.049228891637272,2.5690312318998103,2.956087324806898
3225.0,4.0480076148645106,2.567809955127049,2.9521603671596957
3275.0,4.044427542278737,2.5642298825412757,2.9513687261448336
3325.0,4.042518416715836,2.562320756978375,2.9529904723275795
3375.0,4.0411287545434105,2.560931094805949,2.9523663829487363
3425.0,4.040486710707354,2.5602890509698923,2.950237521941654
3475.0,4.039253699961939,2.559056040224477,2.9405459672801273
3525.0,4.038867442454382,2.5586697827169207,2.9341834867466634
3575.0,4.037892276378242,2.557694616640781,2.929726383723242
3625.0,4.035695005152975,2.555497345415514,2.9345312893477686
3675.0,4.035321692956703,2.5551240332192418,2.9330308302957757
3725.0,4.034365275810863,2.5541676160734017,2.9319219573824338
3775.0,4.034266684381046,2.554069024643584,2.927771146022331
3825.0,4.034266684381046,2.554069024643584,2.925299263024063
3875.0,4.033525794036607,2.5533281342991456,2.926747735894936
3925.0,4.032714427345677,2.552516767608216,2.9320245458378764
3975.0,4.033525794036607,2.5533281342991456,2.9313763737496243
4025.0,4.032538100516246,2.552340440778784,2.938204406688997
4075.0,4.032592330960142,2.5523946712226806,2.9436443258099843
4125.0,4.031749425046369,2.5515517653089077,2.9450808937314363
4175.0,4.031067729202905,2.550870069465444,2.9430090490925247
4225.0,4.030085724848332,2.5498880651108706,2.9405347553889385
4275.0,4.02917801190351,2.5489803521660486,2.9368077784312536
4325.0,4.028402341241901,2.5482046815044397,2.9391007915424288
4375.0,4.024692906107724,2.5444952463702624,2.9354186345815076
4425.0,4.0177274989394345,2.537529839201973,2.9478452090671974
4475.0,4.014098339986096,2.5339006802486344,2.9448563244352277
4525.0,4.0113756577518,2.5311779980143383,2.943930828149184
4575.0,4.008951182299214,2.528753522561752,2.9366611083036123
